,ev,r2,mae,mse,rmse,gamma,C,test_size
0,0.9212,0.9208,0.0388,0.0033,0.0571,150,3,0.0041
1,0.9314,0.931,0.0366,0.0037,0.061,150,3,0.0122
2,0.9042,0.9041,0.0398,0.0046,0.0681,150,3,0.0243
3,0.8628,0.8626,0.0466,0.0069,0.0832,150,3,0.0973
4,0.8522,0.8518,0.048,0.0077,0.0878,100,3,0.2919

0,0.8105,0.8032,0.0747,0.0081,0.0901,100,3,0.0041
1,0.8366,0.8361,0.079,0.0088,0.094,100,3,0.0122
2,0.8183,0.8137,0.0789,0.009,0.095,100,3,0.0243
3,0.7774,0.7725,0.0883,0.0115,0.1071,100,3,0.0973
4,0.7766,0.7718,0.0889,0.0119,0.109,100,3,0.2919
